theta_index,theta,obs_index,u,v,logpdf,derivative_1st,derivative_2nd
0,2.0,0,0.6925398018859044,0.5128655911150221,0.2376340557904646,0.07451672249156638,-0.0406102351886239
0,2.0,1,0.29041654825137186,0.6632920591607901,-0.39760009774944205,-0.34505662875618626,-0.026949203320235038
0,2.0,2,0.23231442449291906,0.11379031535567755,0.6194435528248707,-0.03770378644137118,-0.575083195248618
0,2.0,3,0.5502884737012335,0.13827705165079915,-1.174142233246565,-0.918832955477642,0.18393722495373804
0,2.0,4,0.7150795903898518,0.3255409943389419,-0.38101303063045755,-0.32921913105054834,-0.021316615344388418
0,2.0,5,0.42464433092197174,0.6583330499329189,0.11056277091281697,0.004396815724386549,-0.0762244979331555
0,2.0,6,0.9711489144169232,0.8395761007653076,0.7326585153419822,0.16350950327286373,-0.15328910102765503
0,2.0,7,0.681133143813166,0.5521921979007791,0.308346370504359,0.11915459060965383,-0.011681283728270486
0,2.0,8,0.48131326345467373,0.8473634377740147,-0.08466675278340219,-0.1805186532072458,-0.053843471954853596
0,2.0,9,0.3942751678302675,0.3871410550502459,0.5036034501092486,0.29226425897354735,0.09443683191428348
0,2.0,10,0.34631445582785203,0.3204521391760121,0.5997147224652863,0.3242600526024275,0.09530367862231921
0,2.0,11,0.7244687132363608,0.35717938207984495,-0.26671548557368663,-0.25564753620318603,-0.043929979325134656
0,2.0,12,0.4398007997860319,0.17766019262099708,-0.20197244941017978,-0.3359119531561139,-0.11557669742214187
0,2.0,13,0.06848433867737698,0.8225303818118527,-3.683177784687098,-2.1402697446526338,0.11173687572631384
0,2.0,14,0.4000833702238228,0.3418974289960401,0.5045290574162946,0.27920167418185526,0.05194639669620539
0,2.0,15,0.733235497617395,0.5513226737881917,0.258046051497014,0.06704820603217021,-0.043674953976304914
0,2.0,16,0.18884189584442998,0.5769804387466563,-0.7577921016024849,-0.6258434942138154,0.0761640051185637
0,2.0,17,0.18194272102454268,0.5211023982093856,-0.5667840600579552,-0.5326407550646923,0.022696849391985338
